0,0
Expert Systems with Applications,201
Information Processing & Management,134
Knowledge-Based Systems,132
Neurocomputing,124
Procedia Computer Science,113
Information Sciences,92
Technological Forecasting and Social Change,58
Journal of Biomedical Informatics,54
Future Generation Computer Systems,53
Pattern Recognition,45
Applied Soft Computing,39
Journal of Systems and Software,39
Decision Support Systems,33
International Journal of Information Management,31
Information and Software Technology,30
Journal of Informetrics,30
Journal of King Saud University - Computer and Information Sciences,29
Journal of Business Research,26
Pattern Recognition Letters,25
Computer Speech & Language,24
Electronic Commerce Research and Applications,23
Information Systems,23
Computers in Human Behavior,22
Engineering Applications of Artificial Intelligence,21
World Patent Information,21
Information Fusion,20
Materials Today: Proceedings,20
Poetics,20
"Computers, Environment and Urban Systems",19
Online Social Networks and Media,19
Artificial Intelligence in Medicine,19
Neural Networks,18
Computers & Security,18
Journal of Cleaner Production,18
Information & Management,17
International Journal of Information Management Data Insights,17
Tourism Management,17
Physica A: Statistical Mechanics and its Applications,16
International Journal of Medical Informatics,16
Computer Science Review,15
International Journal of Hospitality Management,15
Advanced Engineering Informatics,14
International Journal of Disaster Risk Reduction,13
Journal of Visual Communication and Image Representation,13
Journal of Computational Science,13
Energy Research & Social Science,13
Transportation Research Part C: Emerging Technologies,13
Artificial Intelligence,13
Journal of Network and Computer Applications,12
Machine Learning with Applications,12
Big Data Research,12
Automation in Construction,11
Computers & Education,11
Computers in Industry,11
Computers & Industrial Engineering,11
Heliyon,10
Computers in Biology and Medicine,10
Computers & Electrical Engineering,10
Data & Knowledge Engineering,10
Cities,9
Accident Analysis & Prevention,9
Journal of Retailing and Consumer Services,9
Sustainable Cities and Society,9
Telematics and Informatics,9
Patterns,9
European Journal of Operational Research,8
ISPRS Journal of Photogrammetry and Remote Sensing,8
Data and Information Management,8
Journal of Hospitality and Tourism Management,7
International Journal of Research in Marketing,7
Technovation,7
International Journal of Forecasting,7
Futures,7
International Journal of Applied Earth Observation and Geoinformation,7
The Leadership Quarterly,7
Technology in Society,6
Annals of Tourism Research,6
Theoretical Computer Science,6
Journal of Air Transport Management,6
Pervasive and Mobile Computing,6
Safety Science,6
Government Information Quarterly,6
Research Policy,6
Industrial Marketing Management,6
Computer Vision and Image Understanding,6
Energy Policy,5
NeuroImage,5
Social Networks,5
Smart Health,5
Ocean Engineering,5
Data in Brief,5
Renewable and Sustainable Energy Reviews,5
IFAC-PapersOnLine,5
European Journal of Political Economy,5
Computer Methods and Programs in Biomedicine,5
Transport Policy,5
Computer Communications,5
Computers & Geosciences,5
Journal of Destination Marketing & Management,5
Cognition,5
Transportation Research Interdisciplinary Perspectives,5
Social Science & Medicine,4
Journal of Web Semantics,4
The Journal of Academic Librarianship,4
Science of The Total Environment,4
Science of Computer Programming,4
Process Safety and Environmental Protection,4
Microprocessors and Microsystems,4
Global Transitions Proceedings,4
