,Title,counts
81,$\less$b$\greater$stm$\less$/b$\greater$: An $\less$i$\greater$R$\less$/i$\greater$ Package for Structural Topic Models,1
650,34th Bled {eConference} Digital Support from Crisis to Progressive Change: Conference Proceedings,1
529,A Bibliometric Analysis of Blockchain Research,1
530,A Challenge Dataset and Effective Models for Aspect-Based Sentiment Analysis,1
531,A Comparison of LSA and LDA for the Analysis of Railroad Accident Text,1
532,A Comparison of Pre-processing Techniques for Twitter Sentiment Analysis,1
533,A Cross-Task Analysis of Text Span Representations,1
534,A Density-based Nonparametric Model for Online Event Discovery from the Social Media Data,1
535,A Dirichlet process biterm-based mixture model for short text stream clustering,1
536,A Gentle Introduction to Topic Modeling Using Python,1
537,A Local-Global LDA Model for Discovering Geographical Topics from Social Media,1
538,A Qualitative Exploration of Perceptions of Algorithmic Fairness,1
539,A Recommendation System Based on Knowledge Gap Identification in MOOCs Ecosystems,1
540,A Relation-Oriented Clustering Method for Open Relation Extraction,1
541,A Score Prediction Approach for Optional Course Recommendation via Cross-User-Domain Collaborative Filtering,1
542,A Simple Framework for Contrastive Learning of Visual Representations,1
543,A Systematic Mapping Study on Current Research Topics in Smart Contracts,1
544,A Tabu search heuristic for smoke term curation in safety defect discovery,1
545,A Topic Augmented Text Generation Model: Joint Learning of Semantics and Structural Features,1
546,A Typology of Virtual Communities: A Multi-Disciplinary Foundation for Future Research,1
547,A comparative analysis of major online review platforms: Implications for social media analytics in hospitality and tourism,1
528,A comparison of the application of block theory and 3D block-cutting analysis,1
527,A content-based recommendation algorithm for learning resources,1
526,A destination imagery processing model: Structural differences between dream and favourite destinations,1
525,A dynamic algorithm for stochastic trust propagation in online social networks: Learning automata approach,1
505,A feature selection algorithm of decision tree based on feature weight,1
506,A feature selection model based on genetic rank aggregation for text sentiment classification,1
507,A few notes on main path analysis,1
508,A general framework for the recognition of online handwritten graphics,1
509,A graph convolutional topic model for short and noisy text streams,1
510,A hybrid scheme-based one-vs-all decision trees for multi-class classification tasks,1
511,A learning styles based recommender system prototype for edX courses,1
512,A medical decision support system for predicting the severity level of COVID-19,1
513,A meta-analysis of consumer innovation resistance: is there a cultural invariance?,1
504,A methodology for a comparative analysis of the lodging offer of tourism destinations based on online customer reviews,1
514,A model of factors affecting learning performance through the use of social media in Malaysian higher education,1
516,A multi-feature probabilistic graphical model for social network semantic search,1
517,A multidisciplinary perspective of big data in management research,1
518,A named entity topic model for news popularity prediction,1
519,A new method for displayed mathematical expression detection based on FFT and SVM,1
520,A new topic modeling based approach for aspect extraction in aspect based sentiment analysis: SS-LDA,1
521,A new topic modeling based approach for aspect extraction in aspect based sentiment analysis: {SS}-{LDA},1
522,A nonparametric model for online topic discovery with word embeddings,1
523,A novel decision support model for satisfactory restaurants utilizing social information: A case study of TripAdvisor.com,1
524,A novel method for topic linkages between scientific publications and patents,1
548,A novel sentiment analysis framework for monitoring the evolving public opinion in real-time: Case study on climate change,1
549,A novel {TOPSIS} evaluation scheme for cloud service trustworthiness combining objective and subjective aspects,1
550,A retrospective study on handwritten mathematical symbols and expressions: Classification and recognition,1
573,A review of literature on the reasons that cause the high dropout rates in the MOOCS,1
575,"A review of the sociocultural profile of Cyprus: Historical background, current features, change and diversity",1
576,A review: Knowledge reasoning over knowledge graph,1
577,A short text sentiment-topic model for product reviews,1
578,A topic model for co-occurring normal documents and short texts,1
579,A tree-BLSTM-based recognition system for online handwritten mathematical expressions,1
580,A unified framework for detecting author spamicity by modeling review deviation,1
581,A weighted hybrid ensemble method for classifying imbalanced data,1
582,A {LDA} Based Model for Topic Evolution: Evidence from Information Science Journals,1
583,ASTM: An Attentional Segmentation Based Topic Model for Short Texts,1
584,ATM: Adversarial-neural Topic Model,1
585,"Abuse is Contextual, What about NLP? The Role of Context in Abusive Language Annotation and Detection",1
586,Accessible Values for the Assouad and Lower Dimensions of Subsets,1
587,Adaptive sampling towards fast graph representation learning,1
588,Adversarial Learning for Robust Deep Clustering,1
589,Affective Computing and Sentiment Analysis,1
590,Aggregating Neural Word Embeddings for Document Representation,1
591,"Airbnb: Online targeted advertising, sense of power, and consumer decisions",1
592,Alcohol Advertising on Twitter{\textemdash}A Topic Model,1
593,"An Analysis of the Evolving Intellectual Structure of Health Information Systems Research in the Information Systems Discipline""""",1
574,An Automated Corpus Annotation Experiment in Brazilian Portuguese for Sentiment Analysis in Public Security,1
572,An Automatic Approach for Document-level Topic Model Evaluation,1
551,An Experimental Analysis of Data Annotation Methodologies for Emotion Detection in Short Text Posted on Social Media,1
571,An Incremental Clustering Algorithm with Pattern Drift Detection for {IoT}-Enabled Smart Grid System,1
552,An Introduction to Variational Autoencoders,1
553,An Investigation of Brand-Related User-Generated Content on Twitter,1
554,An Ontology-Based Labeling of Influential Topics Using Topic Network Analysis,1
555,"An Overview of Blockchain Technology: Architecture, Consensus, and Future Trends",1
556,An assessment into the characteristics of award winning papers at CHI,1
557,An association-constrained {LDA} model for joint extraction of product aspects and opinions,1
558,An explainable AI decision-support-system to automate loan underwriting,1
559,An extended {TODIM} approach with intuitionistic linguistic numbers,1
560,An extractive text summarization approach using tagged-LDA based topic modeling,1
561,An investigation of customer satisfaction with low-cost and full-service airline companies,1
562,An investigation on online reviews in sharing economy driven hospitality platforms: A viewpoint of trust,1
563,"An overview of bag of words; importance, implementation, applications, and challenges",1
564,An unsupervised topic-sentiment joint probabilistic model for detecting deceptive reviews,1
565,Analysis of hotel services by their symmetric and asymmetric effects on overall customer satisfaction: A comparison of market segments,1
566,Analyst Information Discovery and Interpretation Roles: A Topic Modeling Approach,1
567,Analyzing Gender Bias within Narrative Tropes,1
568,Analyzing linguistic complexity and scientific impact,1
569,Analyzing social media data: A mixed-methods framework combining computational and qualitative text analysis,1
570,Anchored Correlation Explanation: Topic Modeling with Minimal Domain Knowledge,1
515,Ancile: Privacy-preserving framework for access control and interoperability of electronic health records using blockchain technology,1
503,Annotating and Detecting Topics in Social Media Forum and Modelling the Annotation to Derive Directions-A Case Study,1
502,Annotating and detecting topics in social media forum and modelling the annotation to derive directions-a case study,1
501,Answer Selection in Community Question Answering via Attentive Neural Networks,1
435,Applications of Topic Models,1
436,Aspect and Opinion Aware Abstractive Review Summarization with Reinforced Hard Typed Decoder,1
437,Aspect based fine-grained sentiment analysis for online reviews,1
438,Assessing Airbnb as a disruptive innovation relative to hotels: Substitution and comparative performance expectations,1
439,Assessing Phrasal Representation and Composition in Transformers,1
440,Assessment of airport service quality: A complementary approach to measure perceived service quality based on Google reviews,1
441,Attention is all you need,1
442,Auditing Partisan Audience Bias within Google Search,1
443,Auditing the Personalization and Composition of Politically-Related Search Engine Results Pages,1
444,Augmented incremental recognition of online handwritten mathematical expressions,1
445,Augmenting Neural Response Generation with Context-Aware Topical Attention,1
446,Auto-Encoding Total Correlation Explanation,1
447,Automatic Annotation of Text Classification Data Set in Specific Field Using Named Entity Recognition,1
448,Automatic Evaluation of Local Topic Quality,1
449,Automatic Keyboard Layout Design for Low-Resource Latin-Script Languages,1
450,Automatic Labeling of Tweets for Crisis Response Using Distant Supervision,1
451,Automatic political discourse analysis with multi-scale convolutional neural networks and contextual data,1
452,Automatically Labeled Data Generation for Large Scale Event Extraction,1
453,Balanced Datasets Are Not Enough: Estimating and Mitigating Gender Bias in Deep Image Representations,1
434,Balanced Self-Paced Learning for Generative Adversarial Clustering Network,1
433,Bayesian Text Classification and Summarization via A Class-Specified Topic Model,1
432,Bayesian Text Classification and Summarization via A Class-Specified Topic Model.,1
431,Be a ``Superhost'': The importance of badge systems for peer-to-peer rental accommodations,1
411,Betweenness and diversity in journal citation networks as measures of interdisciplinarity---A tribute to Eugene Garfield,1
412,Bi-{LSTM}-{CRF} Sequence Labeling for Keyphrase Extraction from Scholarly Documents,1
413,Bibliometrics-based evaluation of the Blockchain research trend: 2008 {\textendash} March 2017,1
414,Big data in tourism research: A literature review,1
415,"Big {B}i{RD}: A Large, Fine-Grained, Bigram Relatedness Dataset for Examining Semantic Composition",1
416,BioSentVec: creating sentence embeddings for biomedical texts,1
417,Biomedical Corpora and Natural Language Processing on Clinical Text in Languages Other Than English: A Systematic Review,1
418,Blockchain Enabled Enhanced IoT Ecosystem Security,1
419,Blockchain in healthcare applications: Research challenges and opportunities,1
410,"Brothers in blood, yet strangers to global brand purchase: A four-country study of the role of consumer personality",1
420,Business intelligence in online customer textual reviews: Understanding consumer perceptions and influential factors,1
