Publication Title,Publication Title
Lecture Notes in Computer Science,237
Scientometrics,198
Multimedia Tools and Applications,170
World Wide Web,91
Social Network Analysis and Mining,86
Communications in Computer and Information Science,86
Applied Intelligence,84
Empirical Software Engineering,71
Knowledge and Information Systems,69
Encyclopedia of Social Network Analysis and Mining,65
Advances in Knowledge Discovery and Data Mining,60
Neural Computing and Applications,58
Database Systems for Advanced Applications,56
Advances in Information Retrieval,55
Artificial Intelligence Review,48
Bioinformatics Research and Applications,47
Web and Big Data,45
Journal of Intelligent Information Systems,42
Journal of Computer Science and Technology,42
Natural Language Processing and Chinese Computing,42
The Journal of Supercomputing,40
Frontiers of Computer Science,38
SN Computer Science,38
Social Informatics,35
Neural Information Processing,35
"Knowledge Science, Engineering and Management",34
Machine Learning and Knowledge Discovery in Databases,34
Journal of Big Data,34
International Journal on Digital Libraries,32
Natural Language Processing and Information Systems,32
Data Mining and Knowledge Discovery,31
International Journal of Data Science and Analytics,30
Cluster Computing,28
Education and Information Technologies,27
Digital Transformation and Global Society,26
Machine Learning,25
Advanced Data Mining and Applications,23
"Social, Cultural, and Behavioral Modeling",22
Neural Processing Letters,22
Artificial Intelligence and Law,21
Computational Linguistics and Intelligent Text Processing,21
Computer Supported Cooperative Work and Social Computing,21
IFIP Advances in Information and Communication Technology,20
Frontiers of Information Technology & Electronic Engineering,20
"Analysis of Images, Social Networks and Texts",19
Science China Information Sciences,19
Information Retrieval Journal,18
Progress in Artificial Intelligence,17
Data Science,16
"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",16
Applied Network Science,16
User Modeling and User-Adapted Interaction,15
"Collaborative Computing: Networking, Applications and Worksharing",15
Multimedia Systems,15
International Journal of Information Technology,15
Information Retrieval,14
EPJ Data Science,14
Artificial Intelligence and Natural Language,14
Machine Learning for Text,14
Web Information Systems and Applications,14
Artificial Intelligence and Security,13
Intelligent Information and Database Systems,13
Service-Oriented Computing,13
Cognitive Computation,13
Computational Collective Intelligence,13
Lecture Notes in Business Information Processing,12
Synthesis Lectures on Human Language Technologies,12
The VLDB Journal,12
Personal and Ubiquitous Computing,12
MultiMedia Modeling,12
Data Science and Engineering,12
Artificial Intelligence in Education,11
Advances in Computational Intelligence,11
International Journal of Computer Vision,11
"Experimental IR Meets Multilinguality, Multimodality, and Interaction",11
Database and Expert Systems Applications,11
Big Data Analytics,10
Digital Libraries for Open Knowledge,10
Artificial Intelligence,10
"Text, Speech, and Dialogue",10
Advances in  Information Retrieval,10
Automated Software Engineering,10
Data Mining,9
Information Management and Big Data,9
The Semantic Web,9
Health Information Science and Systems,9
Computing,9
Encyclopedia of Machine Learning and Data Mining,9
Encyclopedia of Big Data Technologies,8
Computer Vision,8
Discovery Science,8
Pattern Recognition and Image Analysis,8
International Journal of Artificial Intelligence in Education,8
New Trends in Database and Information Systems,8
Text Mining for Information Professionals,8
Advances in Quantitative Ethnography,8
"Wireless Algorithms, Systems, and Applications",8
Advances in Artificial Intelligence,8
Internet Science,8
Web Information Systems Engineering – WISE 2018,8
Knowledge and Systems Sciences,8
Computational Data and Social Networks,8
"Synthesis Lectures on Information Concepts, Retrieval, and Services",7
Research and Advanced Technology for Digital Libraries,7
International Journal of Educational Technology in Higher Education,7
Machine Translation,7
Smart Health,7
Web Information Systems Engineering – WISE 2020,7
PRICAI 2018: Trends in Artificial Intelligence,7
Computational Science – ICCS 2018,7
Data Science – Analytics and Applications,7
Trends and Applications in Knowledge Discovery and Data Mining,7
Journal of Healthcare Informatics Research,7
Data Mining and Big Data,7
Maturity and Innovation in Digital Libraries,7
Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data,7
Artificial Intelligence Applications and Innovations,7
New Trends in Databases and Information Systems,6
Big Data Analytics and Knowledge Discovery,6
Encyclopedia of Database Systems,6
Statistical Language and Speech Processing,6
Disinformation in Open Online Media,6
Requirements Engineering,6
Deep Learning for NLP and Speech Recognition,6
Recommender Systems Handbook,6
Databases Theory and Applications,6
Text Analytics with Python,6
HMD Praxis der Wirtschaftsinformatik,6
"Collaborate Computing: Networking, Applications and Worksharing",6
Re-imagining Diffusion and Adoption of Information Technology and Systems: A Continuing Conversation,6
Data Analytics and Management in Data Intensive Domains,6
"Progress in Pattern Recognition, Image Analysis, Computer Vision, and Applications",6
Programming and Computer Software,6
Text Data Mining,6
Integrated Uncertainty in Knowledge Modelling and Decision Making,6
Lecture Notes in Electrical Engineering,6
Transforming Digital Worlds,6
Metadata and Semantic Research,6
Mastering Machine Learning with Python in Six Steps,6
Machine Learning and Knowledge Extraction,6
Advances in Computational Collective Intelligence,6
Advances in Multimedia Information Processing – PCM 2018,5
PRICAI 2019: Trends in Artificial Intelligence,5
Algorithms and Architectures for Parallel Processing,5
Trends in Artificial Intelligence Theory and Applications. Artificial Intelligence Practices,5
Knowledge Management and Acquisition for Intelligent Systems,5
Machine Learning for Cyber Security,5
Requirements Engineering: Foundation for Software Quality,5
Research Challenges in Information Science,5
Smart Computing and Communication,5
CCF Transactions on Pervasive Computing and Interaction,5
Business Information Systems,5
Pattern Analysis and Applications,5
Computational Processing of the Portuguese Language,5
Information Retrieval Technology,5
Machine Vision and Applications,5
Web Information Systems Engineering – WISE 2021,5
Computational Science – ICCS 2019,5
Computational Science – ICCS 2021,5
Data Science for Economics and Finance,5
Web Information Systems Engineering – WISE 2019,5
Web Information Systems Engineering – WISE 2017,5
Advances in Computing and Data Sciences,5
Multidimensional Mining of Massive Text Data,5
"Cyberspace Data and Intelligence, and Cyber-Living, Syndrome, and Health",5
Hybrid Artificial Intelligent Systems,5
Human-centric Computing and Information Sciences,5
Distributed Computing and Internet Technology,5
Human Centered Computing,5
Intelligent Technologies and Applications,5
Semantic Technology,5
Entity-Oriented Search,5
Scientific and Technical Information Processing,5
ars digitalis,5
Service Oriented Computing and Applications,5
Journal on Data Semantics,5
"Diversity, Divergence, Dialogue",5
Big Data,5
International Journal of Multimedia Information Retrieval,4
Agents and Artificial Intelligence,4
Data and Information in Online Environments,4
Synthesis Lectures on Artificial Intelligence and Machine Learning,4
Social Computing and Social Media: Experience Design and Social Network Analysis,4
Bayesian Analysis in Natural Language Processing,4
Computational Science and Its Applications – ICCSA 2021,4
Artificial Intelligence in China,4
"Information and Communication Technologies in Education, Research, and Industrial Applications",4
Theoretical Computer Science,4
Computational Science – ICCS 2020,4
Synthesis Lectures on Data Mining and Knowledge Discovery,4
Electronic Government,4
Information Processing and Management of Uncertainty in Knowledge-Based Systems,4
Information and Software Technologies,4
Social Media Processing,4
Advances in Multimedia Information Processing – PCM 2017,4
Machine Learning and Intelligent Communications,4
Conceptual Modeling,4
Journal of Cloud Computing,4
AI & SOCIETY,4
Software Quality Journal,4
Web Engineering,4
Social Information Access,4
New Generation Computing,4
Health Information Science,4
Soziale Medien,4
Emerging Technologies for Education,4
Machine Learning and Knowledge Discovery in Databases. Research Track,4
Lifelong Machine Learning,4
Pattern Recognition. ICPR International Workshops and Challenges,4
Pattern Recognition and Machine Intelligence,4
Artificial Intelligence and Speech Technology,4
Computational Intelligence in Data Science,4
Flexible Query Answering Systems,4
Cloud Computing and Security,4
Applied Informatics,4
Natural Language Processing for Social Media,4
Foundations of Intelligent Systems,4
Document Analysis and Recognition – ICDAR 2021,4
Intelligent Information Processing IX,4
Deep Learning in Natural Language Processing,4
"Machine Learning, Optimization, and Data Science",4
From Social Data Mining and Analysis to Prediction and Community Detection,4
Text Mining with MATLAB®,4
ECML PKDD 2020 Workshops,4
Brain Informatics,4
Information in Contemporary Society,4
Artificial Intelligence and Soft Computing,4
Similarity Search and Applications,4
HCI International 2020 - Posters,4
Machine Learning for Networking,4
Advanced Information Systems Engineering,4
Advances in Data Mining. Applications and Theoretical Aspects,3
Query Understanding for Search Engines,3
From Extractive to Abstractive Summarization: A Journey,3
"Machine Learning, Image Processing, Network Security and Data Sciences",3
HCI International 2021 - Posters,3
AI 2017: Advances in Artificial Intelligence,3
Advances in Data Science and Information Engineering,3
Modeling Decisions for Artificial Intelligence,3
"Signal, Image and Video Processing",3
Cybersecurity Data Science,3
Quantitative Intertextuality,3
Distributed Machine Learning and Gradient Optimization,3
Heterogeneous Information Network Analysis and Applications,3
Public Health Intelligence and the Internet,3
Machine Learning and Data Mining in Pattern Recognition,3
Distributed and Parallel Databases,3
Electronic Participation,3
Simulating Information Retrieval Test Collections,3
Advanced Computing,3
Advanced Informatics for Computing Research,3
Recent Trends in Image Processing and Pattern Recognition,3
"HCI for Cybersecurity, Privacy and Trust",3
HCI International 2020 – Late Breaking Posters,3
Datenbank-Spektrum,3
"Distributed, Ambient and Pervasive Interactions",3
Evaluation of Novel Approaches to Software Engineering,3
Database Systems for Advanced Applications. DASFAA 2020 International Workshops,3
Advances and Trends in Artificial Intelligence. From Theory to Practice,3
Data-Driven Personas,3
Educating for a New Future: Making Sense of Technology-Enhanced Learning Adoption,3
Product-Focused Software Process Improvement,3
Guide to Programming for the Digital Humanities,3
Designing for a Digital and Globalized World,3
Social Computing and Social Media: Applications in Education and Commerce,3
Advances in Artificial Intelligence: From Theory to Practice,3
Advanced Network Technologies and Intelligent Computing,3
Security and Privacy in Communication Networks,3
Electronic Governance and Open Society: Challenges in Eurasia,3
Research in Computational Molecular Biology,3
Handbook of Big Geospatial Data,3
"HCI International 2022 – Late Breaking Papers: HCI for Health, Well-being, Universal Access and Healthy Aging",3
Representation Learning for Natural Language Processing,3
Artificial Neural Networks and Machine Learning – ICANN 2018,3
"Security, Privacy, and Anonymity in Computation, Communication, and Storage",3
Knowledge Engineering and Knowledge Management,3
Sustainable Digital Communities,3
Language Technologies for the Challenges of the Digital Age,3
Trends of Data Science and Applications,3
Annals of Mathematics and Artificial Intelligence,3
Information for a Better World: Shaping the Global Future,3
Cognitive Computing Recipes,3
Intelligence Science and Big Data Engineering. Big Data and Machine Learning,3
Chinese Computational Linguistics,3
"Knowledge Graph and Semantic Computing. Language, Knowledge, and Intelligence",3
Intelligent Data Engineering and Automated Learning – IDEAL 2019,3
Network Embedding,3
CSI Transactions on ICT,3
Intelligent Human Computer Interaction,3
Artificial Intelligence  in Education,3
Information Refinement Technologies for Crisis Informatics,3
On the Move to Meaningful Internet Systems. OTM 2018 Conferences,3
"Artificial Intelligence  in Education. Posters and Late Breaking Results, Workshops and Tutorials, Industry and Innovation Tracks, Practitioners’ and Doctoral Consortium",3
"Knowledge Discovery, Knowledge Engineering and Knowledge Management",3
Network Modeling Analysis in Health Informatics and Bioinformatics,3
The Past Web,3
Towards Open and Trustworthy Digital Societies,3
Bias and Social Aspects in Search and Recommendation,3
Automatic Documentation and Mathematical Linguistics,3
Internet Multimedia Computing and Service,3
Artificial Life and Evolutionary Computation,3
Augmented Cognition. Neurocognition and Machine Learning,3
Introduction to Deep Learning Business Applications for Developers,3
New Frontiers in Artificial Intelligence,3
"Language, Data, and Knowledge",3
Mining Intelligence and Knowledge Exploration,3
Computational Science and Its Applications – ICCSA 2022 Workshops,3
Computational Visual Media,3
Linking Theory and Practice of Digital Libraries,3
Computer Supported Cooperative Work (CSCW),3
Software and Systems Modeling,3
Advances in Visual Computing,3
Artificial Neural Networks and Machine Learning – ICANN 2019: Text and Time Series,3
Practical Machine Learning with Python,3
Human-Computer Interaction – INTERACT 2021,3
Urban Intelligence and Applications,3
Computer Vision – ECCV 2018,3
Computational Science – ICCS 2022,3
Urban Informatics and Future Cities,3
Intelligent Systems,2
KI 2019: Advances in Artificial Intelligence,2
Practical MATLAB Deep Learning,2
Machine Learning and Knowledge Discovery in Databases. Applied Data Science Track,2
Next-Generation Machine Learning with Spark,2
Machine Intelligence Research,2
On the Move to Meaningful Internet Systems. OTM 2017 Conferences,2
Phrase Mining from Massive Text and Its Applications,2
"Mobile and Ubiquitous Systems: Computing, Networking and Services",2
Engineering Applications of Neural Networks,2
Machine Learning and AI for Healthcare,2
Intelligent Information Processing XI,2
Scalable Uncertainty Management,2
Foundations and Practice of Security,2
"Enterprise Applications, Markets and Services in the Finance Industry",2
Enterprise Information Systems,2
New Frontiers in Mining Complex Patterns,2
Mining Structures of Factual Knowledge from Text,2
"Enterprise, Business-Process and Information Systems Modeling",2
How to Compete in the Age of Artificial Intelligence,2
Multi-disciplinary Trends in Artificial Intelligence,2
Journal of Grid Computing,2
Predicting the Dynamics of Research Impact,2
Mining Lurkers in Online Social Networks,2
Journal of Internet Services and Applications,2
Search-Based Software Engineering,2
Practical Machine Learning with AWS,2
Human–Computer Interaction Series,2
Image and Graphics Technologies and Applications,2
Managing Data From Knowledge Bases: Querying and Extraction,2
Journal of the Brazilian Computer Society,2
International Journal of Information Security,2
Iran Journal of Computer Science,2
Perspectives in Business Informatics Research,2
Intelligent Data Engineering and Automated Learning – IDEAL 2020,2
Machine Learning and Principles and Practice of Knowledge Discovery in Databases,2
Representing Scientific Knowledge,2
Innovations in Systems and Software Engineering,2
Innovations for Community Services,2
Handbook of Image Engineering,2
Machine Learning for Auditors,2
Pattern Recognition and Computer Vision,2
Information and Communications Security,2
"Parallel Architectures, Algorithms and Programming",2
Innovative Computing,2
Natural Language Processing Recipes,2
"Recent Trends in Analysis of Images, Social Networks and Texts",2
Multi-Agent Systems,2
Recent Trends and Future Technology in Applied Intelligence,2
Information Systems,2
Pattern Recognition and Artificial Intelligence,2
Handbook of Big Data Analytics and Forensics,2
HCI International 2019 - Posters,2
Knowledge Graphs and Semantic Web,2
Knowledge Engineering and Semantic Web,2
Intelligent Data Engineering and Automated Learning – IDEAL 2018,2
From Security to Community Detection in Social Networking Platforms,2
Information Retrieval Evaluation in a Changing World,2
Implementing AI Systems,2
Lecture Notes on Data Engineering and Communications Technologies,2
Knowledge Graph and Semantic Computing: Knowledge Computing and Language Understanding,2
Robot Intelligence Technology and Applications,2
Future and Emerging Trends in Language Technology. Machine Learning and Big Data,2
Intelligent Crowdsourced Testing,2
Machine Learning for Economics and Finance in TensorFlow 2,2
GeoInformatica,2
Intelligent Computing Theories and Application,2
Intelligent Computer Mathematics,2
Getting Structured Data from the Internet,2
Optical Memory and Neural Networks,2
Human-Computer Interaction – INTERACT 2019,2
Innovative Technologies and Learning,2
Human and Machine Learning,2
A Guided Tour of Artificial Intelligence Research,2
Encyclopedia of GIS,2
Convergent Cognitive Information Technologies,2
Argumentation Mining,2
Applied Technologies,2
Applied Natural Language Processing with Python,2
Computer Supported Education,2
Computer Vision – ACCV 2018,2
Computer Vision – ECCV 2020,2
Computer Vision – ECCV 2020 Workshops,2
Applied Data Science Using PySpark,2
Applications of Soft Computing for the Web,2
Applications and Techniques in Information Security,2
"Computing Science, Communication and Security",2
"Application of Big Data, Blockchain, and Internet of Things for Education Informatization",2
Contemporary Issues in Group Decision and Negotiation,2
Trends in Social Network Analysis,2
Soft Computing in Data Science,2
Data Science and Computational Intelligence,2
"Cooperative Design, Visualization, and Engineering",2
Soft Computing and its Engineering Applications,2
Creative Solutions for a Sustainable Development,2
Cross-Lingual Word Embeddings,2
Social Robotics,2
Culture and Computing,2
Culture and Computing. Design Thinking and Cultural Computing,2
"Social Networks Science: Design, Implementation, Security, and Challenges",2
Social Monitoring for Public Health,2
Data Analytics in Digital Humanities,2
Data Management Technologies and Applications,2
Data Management and Analytics for Medicine and Healthcare,2
Social Computing with Artificial Intelligence,2
Advances in Swarm Intelligence,2
Transforming Learning with Meaningful Technologies,2
Artificial Intelligence Algorithms and Applications,2
