0,0
Proc. ACM Hum.-Comput. Interact.,5
International ACM SIGIR Conference on Research and Development in Information Retrieval,4
ACM International Conference on Information &amp; Knowledge Management,4
CHI Conference on Human Factors in Computing Systems,4
ACM International Conference on Information and Knowledge Management,4
"IEEE/ACM Trans. Audio, Speech and Lang. Proc.",3
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,3
Companion Proceedings of the Web Conference,3
ACM Trans. Intell. Syst. Technol.,3
ACM Trans. Inf. Syst.,3
Proceedings of the ACM Web Conference,3
ACM International Conference on Multimedia,3
"International Conference on Web Intelligence, Mining and Semantics",2
International Workshop on Mining Scientific Publications,2
J. Mach. Learn. Res.,2
Proceedings of The Web Conference,2
ACM Conference on Hypertext and Social Media,2
Proceedings of the Fifteenth ACM International Conference on Web Search and Data Mining,2
"Proceedings of the Conference on Fairness, Accountability, and Transparency",1
The VLDB Journal,1
International Conference on Web Search and Data Mining,1
Proceedings of the Web Conference,1
International Conference on Software Engineering,1
SIGKDD Explor. Newsl.,1
International Conference on Social Media &amp; Society,1
International Conference on Program Comprehension,1
International Conference on Mining Software Repositories,1
International Web for All Conference,1
International Conference on Intelligent User Interfaces,1
International Conference on Computing and Artificial Intelligence,1
International Conference on Advances in Geographic Information Systems,1
The World Wide Web Conference,1
Trans. Soc. Comput.,1
International Conference on World Wide Web Companion,1
J. Artif. Int. Res.,1
Proceedings of the South African Institute of Computer Scientists and Information Technologists,1
Proceedings of the Eighteenth International Conference on Artificial Intelligence and Law,1
J. Comput. Cult. Herit.,1
Proceedings of the Seventh International Learning Analytics &amp; Knowledge Conference,1
"Nordic Conference on Human-Computer Interaction: Shaping Experiences, Shaping Society",1
Proceedings of the Second ACM International Conference on AI in Finance,1
Proc. VLDB Endow.,1
Proceedings of the International Conference on Big Data and Internet of Thing,1
Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops,1
Interaction Design and Children,1
Proceedings of the ACM India Joint International Conference on Data Science and Management of Data,1
Proceedings of the ACM Multimedia Asia,1
Proceedings of the First ACM International Conference on AI in Finance,1
Proceedings of the ACM/IEEE Joint Conference on Digital Libraries in,1
Proceedings of the Australasian Computer Science Week Multiconference,1
11th Joint Meeting on Foundations of Software Engineering,1
Conference on Pattern Languages of Programs,1
IEEE/WIC/ACM International Conference on Web Intelligence,1
Digit. Gov.: Res. Pract.,1
ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,1
ACM International Conference on PErvasive Technologies Related to Assistive Environments,1
ACM International Conference on Management of Data,1
ACM International Conference on Computing Frontiers,1
"ACM International Conference on Bioinformatics, Computational Biology and Health Informatics",1
ACM Conference on Computer Supported Cooperative Work and Social Computing,1
ACM Comput. Surv.,1
ACM / IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),1
"AAAI/ACM Conference on AI, Ethics, and Society",1
7th International Conference on Information and Education Technology,1
5th Joint International Conference on Data Science &amp; Management of Data (9th ACM IKDD CODS and 27th COMAD),1
4th International Conference on Electronic Information Technology and Computer Engineering,1
3rd International Conference on Natural Language Processing and Information Retrieval,1
3rd International Conference on Computer Science and Artificial Intelligence,1
2nd International Conference on Big Data and Artificial Intelligence,1
22nd International Conference on Human-Computer Interaction with Mobile Devices and Services,1
"2022 ACM Conference on Fairness, Accountability, and Transparency",1
ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,1
ACM SIGSOFT International Workshop on Software Analytics,1
ACM Trans. Asian Low-Resour. Lang. Inf. Process.,1
Annual ACM Symposium on Applied Computing,1
2021 4th International Conference on Data Science and Information Technology,1
Conference on Conversational User Interfaces,1
Conference Companion Publication of the 2020 on Computer Supported Cooperative Work and Social Computing,1
Companion Proceedings of the The Web Conference,1
Companion Proceedings of The 2019 World Wide Web Conference,1
Australasian Document Computing Symposium,1
Annual International Conference on Digital Government Research: Governance in the Data Age,1
Adjunct ACM International Joint Conference on Pervasive and Ubiquitous Computing and ACM International Symposium on Wearable Computers,1
ACM Trans. Interact. Intell. Syst.,1
ACM/IEEE on Joint Conference on Digital Libraries,1
ACM on Web Science Conference,1
ACM on International Conference on Multimedia Retrieval,1
ACM on Conference on Information and Knowledge Management,1
ACM Trans. Multimedia Comput. Commun. Appl.,1
ACM Trans. Manage. Inf. Syst.,1
ACM Trans. Internet Technol.,1
on Hypertext and Social Media,1
