Publication Title,Document Title
International Conference on Information and Communication Systems (ICICS),12
IEEE Access,3
Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),2
"IEEE International Conference on Systems, Man, and Cybernetics (SMC)",2
International Conference of Social Computing and Digital Economy (ICSCDE),1
"International Symposium on Computer, Consumer and Control (IS3C)",1
International Joint Conference on Neural Networks (IJCNN),1
International Congress on Advanced Applied Informatics (IIAI-AAI),1
International Conference on Natural Language Processing (ICNLP),1
"International Conference on Machine Learning, Big Data, Cloud and Parallel Computing (COMITCon)",1
"International Conference on Intelligent Computing, Automation and Systems (ICICAS)",1
"International Conference on Information Technology, Information Systems and Electrical Engineering (ICITISEE)",1
International Conference on Informatics and Computational Sciences (ICICoS),1
IEEE/ACS International Conference on Computer Systems and Applications (AICCSA),1
First Asian Conference on Affective Computing and Intelligent Interaction (ACII Asia),1
IEEE Transactions on Knowledge and Data Engineering,1
IEEE Third International Conference on Multimedia Big Data (BigMM),1
"IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress(DASC/PiCom/DataCom/CyberSciTech)",1
IEEE International Conference on Humanized Computing and Communication (HCC),1
IEEE International Conference on Data Mining (ICDM),1
IEEE International Conference on Data Engineering (ICDE),1
IEEE International Conference on Big Data (Big Data),1
IEEE Automatic Speech Recognition and Understanding Workshop (ASRU),1
TENCON 2017 - 2017 IEEE Region 10 Conference,1
