0,0
Expert Systems with Applications,25
Neurocomputing,19
Knowledge-Based Systems,18
Technological Forecasting and Social Change,13
Procedia Computer Science,11
Future Generation Computer Systems,10
Information Processing & Management,8
Information Sciences,7
Journal of Business Research,6
Information and Software Technology,6
Neural Networks,5
Journal of Informetrics,5
International Journal of Medical Informatics,5
Annals of Tourism Research,5
Engineering Applications of Artificial Intelligence,5
Materials Today: Proceedings,4
Heliyon,4
International Journal of Hospitality Management,4
Pattern Recognition,4
International Journal of Information Management,4
Journal of King Saud University - Computer and Information Sciences,4
Information Fusion,4
Pattern Recognition Letters,4
Journal of Biomedical Informatics,4
Journal of Cleaner Production,4
Tourism Management,4
Patterns,3
Computer Speech & Language,3
International Journal of Information Management Data Insights,3
Artificial Intelligence in Medicine,3
Ultrasound in Medicine & Biology,3
Electronic Commerce Research and Applications,3
Industrial Marketing Management,3
Journal of the American Academy of Dermatology,3
The Leadership Quarterly,3
Diabetes & Metabolic Syndrome: Clinical Research & Reviews,3
Decision Support Systems,3
Data and Information Management,3
Data & Knowledge Engineering,3
Computers in Industry,3
Computers in Human Behavior,3
International Journal of Disaster Risk Reduction,2
Information & Management,2
International Journal of Accounting Information Systems,2
European Journal of Operational Research,2
Poetics,2
Government Information Quarterly,2
Health Policy and Technology,2
Accident Analysis & Prevention,2
Energy Research & Social Science,2
Advanced Engineering Informatics,2
International Review of Economics & Finance,2
Social Science & Medicine,2
International Review of Financial Analysis,2
Ecological Economics,2
Telematics and Informatics,2
Computers & Education,2
Energy Policy,2
Journal of Destination Marketing & Management,2
Computational Statistics & Data Analysis,2
Journal of Corporate Finance,2
Journal of Pragmatics,1
Journal of Monetary Economics,1
Journal of Parallel and Distributed Computing,1
Journal of Systems and Software,1
Journal of Rail Transport Planning & Management,1
Journal of Systems Architecture,1
One Earth,1
Machine Learning with Applications,1
Measurement,1
Marine Pollution Bulletin,1
Renewable and Sustainable Energy Reviews,1
Pervasive and Mobile Computing,1
Physica A: Statistical Mechanics and its Applications,1
World Development,1
Value in Health,1
Travel Medicine and Infectious Disease,1
Travel Behaviour and Society,1
Transportation Research Part C: Emerging Technologies,1
Transfusion Medicine Reviews,1
Tourism Management Perspectives,1
Theoretical Computer Science,1
The Quarterly Review of Economics and Finance,1
The Journal of Strategic Information Systems,1
"The Journal of China Universities of Posts and Telecommunications,
",1
The International Journal of Management Education,1
Technovation,1
Technology in Society,1
Teaching and Learning in Nursing,1
Sustainable Computing: Informatics and Systems,1
Sustainable Cities and Society,1
Social Networks,1
Signal Processing,1
Seminars in Arthritis and Rheumatism,1
Scandinavian Journal of Management,1
SSM - Population Health,1
Robotics and Autonomous Systems,1
Research in Social and Administrative Pharmacy,1
Public Relations Review,1
Progress in Aerospace Sciences,1
Process Safety and Environmental Protection,1
Journal of International Money and Finance,1
International Journal of Research in Marketing,1
Journal of Industrial Information Integration,1
Computer Communications,1
Electoral Studies,1
"Editor(s): Vladlena Benson, John Mcalaney",1
"Editor(s): Rex Hartson, Pardha Pyla",1
Editor(s): Omar F. Bizri,1
"Editor(s): Derek L. Hansen, Ben Shneiderman, Marc A. Smith, Itai Himelboim",1
Editor(s): Christophe Terrien,1
"Editor(s): Bedir Tekinerdogan, Önder Babur, Loek Cleophas, Mark van den Brand, Mehmet Akşit",1
Data in Brief,1
"Computers, Environment and Urban Systems",1
Computers & Security,1
Computers & Industrial Engineering,1
Computer Networks,1
Cognitive Systems Research,1
Environmental Innovation and Societal Transitions,1
Cognition,1
Climate Services,1
Cities,1
China Journal of Accounting Research,1
Child Abuse & Neglect,1
Chest,1
Chemosphere,1
Case Studies on Transport Policy,1
Blockchain: Research and Applications,1
Big Data Research,1
Automation in Construction,1
Addictive Behaviors,1
Energy Economics,1
Environmental Science & Policy,1
Journal of Hydrology,1
International Journal of Forecasting,1
Journal of Hospitality and Tourism Management,1
Journal of Environmental Management,1
Journal of Computational Science,1
Journal of Cancer Policy,1
Journal of Behavioral and Experimental Finance,1
Journal of Applied Research and Technology,1
Journal of Air Transport Management,1
Journal of Affective Disorders,1
Journal of Accounting and Economics,1
International Soil and Water Conservation Research,1
International Journal of Transportation Science and Technology,1
Actas Dermo-Sifiliográficas (English Edition),1
International Journal of Approximate Reasoning,1
European Journal of Political Economy,1
International Journal of Applied Earth Observation and Geoinformation,1
Information Systems,1
ISA Transactions,1
IFAC-PapersOnLine,1
Human Pathology,1
Global Transitions Proceedings,1
Global Food Security,1
Global Environmental Change,1
Geoforum,1
Futures,1
Food Quality and Preference,1
Finance Research Letters,1
World Patent Information,1
