Publication Title,Publication Title
Lecture Notes in Computer Science,37
Scientometrics,16
Multimedia Tools and Applications,14
Communications in Computer and Information Science,8
Knowledge and Information Systems,7
Machine Learning and Knowledge Discovery in Databases,7
Natural Language Processing and Information Systems,6
Empirical Software Engineering,6
Applied Network Science,5
Journal of Intelligent Information Systems,5
Database Systems for Advanced Applications,5
Applied Intelligence,5
SN Computer Science,5
Journal of Big Data,5
Advances in Knowledge Discovery and Data Mining,5
Advances in Information Retrieval,5
Machine Learning,5
Frontiers of Information Technology & Electronic Engineering,4
Computational Linguistics and Intelligent Text Processing,4
Natural Language Processing and Chinese Computing,4
Social Informatics,3
Artificial Intelligence and Natural Language,3
Neural Computing and Applications,3
Lecture Notes in Business Information Processing,3
IFIP Advances in Information and Communication Technology,3
Data Science and Engineering,3
"Text, Speech, and Dialogue",3
Social Network Analysis and Mining,3
Frontiers of Computer Science,3
Education and Information Technologies,3
World Wide Web,3
Science China Information Sciences,2
Smart Health,2
Digital Transformation and Global Society,2
Disease Control Through Social Network Surveillance,2
"Experimental IR Meets Multilinguality, Multimodality, and Interaction",2
Computer Supported Cooperative Work and Social Computing,2
International Journal on Digital Libraries,2
Encyclopedia of Social Network Analysis and Mining,2
"Collaborative Computing: Networking, Applications and Worksharing",2
Statistical Language and Speech Processing,2
Advanced Data Mining and Applications,2
Web and Big Data,2
Web Information Systems Engineering – WISE 2021,2
"Synthesis Lectures on Information Concepts, Retrieval, and Services",2
Artificial Intelligence and Law,2
Advances in Computational Intelligence,2
International Journal of Educational Technology in Higher Education,2
Journal of Healthcare Informatics Research,2
"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",2
"Analysis of Images, Social Networks and Texts",2
Metadata and Semantic Research,1
Internet Science,1
Interpreting Machine Learning Models,1
Multi-disciplinary Trends in Artificial Intelligence,1
Machine Vision and Augmented Intelligence—Theory and Applications,1
Journal on Data Semantics,1
Machine Vision and Applications,1
Machine Learning for Networking,1
KI 2019: Advances in Artificial Intelligence,1
Knowledge and Systems Sciences,1
Learning Technology for Education Challenges,1
Machine Learning and Principles and Practice of Knowledge Discovery in Databases,1
Machine Learning and Knowledge Discovery in Databases. Research Track,1
Lecture Notes in Electrical Engineering,1
Lecture Notes in Social Networks,1
Lifelong Technology-Enhanced Learning,1
A Guided Tour of Artificial Intelligence Research,1
Neural Processing Letters,1
The VLDB Journal,1
Synthesis Lectures on Data Management,1
Systematic Innovation Partnerships with Artificial Intelligence and Information Technology,1
"Technology-Enhanced Learning for a Free, Safe, and Sustainable World",1
The Practice of Crowdsourcing,1
The Semantic Web – ISWC 2019,1
The Semantic Web – ISWC 2020,1
Theoretical Aspects of Software Engineering,1
On the Move to Meaningful Internet Systems. OTM 2018 Conferences,1
Theoretical Computer Science,1
Transactions on Computational Science and Computational Intelligence,1
Urban Intelligence and Applications,1
User Modeling and User-Adapted Interaction,1
Web Engineering,1
ars digitalis,1
String Processing and Information Retrieval,1
Soziale Medien,1
Software Quality Journal,1
"Social, Cultural, and Behavioral Modeling",1
Social Media Processing,1
Simulating Information Retrieval Test Collections,1
"Signal, Image and Video Processing",1
Semantic Technology,1
Internet Multimedia Computing and Service,1
Research and Advanced Technology for Digital Libraries,1
"Recent Trends in Analysis of Images, Social Networks and Texts",1
