Publication Title,Publication Title
Lecture Notes in Computer Science,237
Scientometrics,135
Multimedia Tools and Applications,132
Communications in Computer and Information Science,86
Social Network Analysis and Mining,65
Applied Intelligence,64
World Wide Web,64
Empirical Software Engineering,56
Knowledge and Information Systems,54
Neural Computing and Applications,48
Artificial Intelligence Review,43
Advances in Knowledge Discovery and Data Mining,40
Database Systems for Advanced Applications,35
Advances in Information Retrieval,33
Journal of Intelligent Information Systems,33
SN Computer Science,33
Web and Big Data,31
Journal of Big Data,30
Frontiers of Computer Science,29
Encyclopedia of Social Network Analysis and Mining,28
Journal of Computer Science and Technology,27
Natural Language Processing and Chinese Computing,27
The Journal of Supercomputing,26
International Journal of Data Science and Analytics,25
International Journal on Digital Libraries,25
Natural Language Processing and Information Systems,23
Social Informatics,23
Machine Learning,22
Machine Learning and Knowledge Discovery in Databases,21
IFIP Advances in Information and Communication Technology,20
Artificial Intelligence and Law,19
"Social, Cultural, and Behavioral Modeling",18
Data Mining and Knowledge Discovery,18
Neural Information Processing,17
Computational Linguistics and Intelligent Text Processing,16
Neural Processing Letters,16
"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",16
Computer Supported Cooperative Work and Social Computing,15
Science China Information Sciences,14
Machine Learning for Text,14
Cluster Computing,14
Advanced Data Mining and Applications,14
Frontiers of Information Technology & Electronic Engineering,14
Applied Network Science,13
Bioinformatics Research and Applications,13
Information Retrieval Journal,13
Digital Transformation and Global Society,13
User Modeling and User-Adapted Interaction,13
Cognitive Computation,12
"Analysis of Images, Social Networks and Texts",12
EPJ Data Science,12
Multimedia Systems,12
"Knowledge Science, Engineering and Management",12
Synthesis Lectures on Human Language Technologies,12
Lecture Notes in Business Information Processing,12
The VLDB Journal,11
Artificial Intelligence and Security,11
Education and Information Technologies,11
Information Retrieval,11
Intelligent Information and Database Systems,10
Data Science and Engineering,10
Progress in Artificial Intelligence,10
Artificial Intelligence and Natural Language,10
International Journal of Computer Vision,10
Artificial Intelligence in Education,9
International Journal of Information Technology,9
Automated Software Engineering,9
Database and Expert Systems Applications,8
"Collaborative Computing: Networking, Applications and Worksharing",8
International Journal of Artificial Intelligence in Education,8
"Text, Speech, and Dialogue",8
Data Science,8
Big Data Analytics,8
Advances in Computational Intelligence,8
"Experimental IR Meets Multilinguality, Multimodality, and Interaction",7
Advances in Artificial Intelligence,7
Advances in  Information Retrieval,7
MultiMedia Modeling,7
Personal and Ubiquitous Computing,7
Web Information Systems and Applications,7
Text Mining for Information Professionals,7
"Synthesis Lectures on Information Concepts, Retrieval, and Services",7
Computing,7
Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data,6
Health Information Science and Systems,6
New Trends in Database and Information Systems,6
Encyclopedia of Machine Learning and Data Mining,6
Text Data Mining,6
"Wireless Algorithms, Systems, and Applications",6
Digital Libraries for Open Knowledge,6
Computational Collective Intelligence,6
Deep Learning for NLP and Speech Recognition,6
Lecture Notes in Electrical Engineering,6
Service-Oriented Computing,6
Knowledge and Systems Sciences,6
The Semantic Web,6
Text Analytics with Python,5
Big Data Analytics and Knowledge Discovery,5
Journal on Data Semantics,5
Smart Health,5
"Progress in Pattern Recognition, Image Analysis, Computer Vision, and Applications",5
Entity-Oriented Search,5
Metadata and Semantic Research,5
Encyclopedia of Database Systems,5
Statistical Language and Speech Processing,5
Recommender Systems Handbook,5
Multidimensional Mining of Massive Text Data,5
Data Science – Analytics and Applications,5
Computer Vision,5
Data Mining and Big Data,5
Data Science for Economics and Finance,5
Human-centric Computing and Information Sciences,5
