0,0
Expert Systems with Applications,257
Information Processing & Management,187
Procedia Computer Science,174
Knowledge-Based Systems,168
Neurocomputing,162
Information Sciences,122
Technological Forecasting and Social Change,95
Future Generation Computer Systems,87
Journal of Biomedical Informatics,71
Journal of Systems and Software,60
Applied Soft Computing,55
Information and Software Technology,55
Journal of Informetrics,53
Decision Support Systems,52
Pattern Recognition,51
Journal of Business Research,50
International Journal of Information Management,48
Journal of Cleaner Production,45
Pattern Recognition Letters,37
Electronic Commerce Research and Applications,35
Journal of King Saud University - Computer and Information Sciences,33
"Computers, Environment and Urban Systems",32
Engineering Applications of Artificial Intelligence,31
International Journal of Information Management Data Insights,30
Computers in Human Behavior,29
Poetics,28
Information Fusion,28
International Journal of Medical Informatics,28
Computer Speech & Language,28
Materials Today: Proceedings,27
Tourism Management,26
World Patent Information,25
Information & Management,24
Physica A: Statistical Mechanics and its Applications,24
Computers & Security,24
Neural Networks,23
International Journal of Disaster Risk Reduction,23
International Journal of Hospitality Management,22
Online Social Networks and Media,22
Information Systems,21
Artificial Intelligence in Medicine,21
Research Policy,20
Heliyon,20
Journal of Computational Science,20
Telematics and Informatics,20
Journal of Retailing and Consumer Services,19
Computer Science Review,19
Computers & Industrial Engineering,18
Energy Research & Social Science,18
Automation in Construction,17
Computers in Industry,17
Cities,17
Transportation Research Part C: Emerging Technologies,16
Advanced Engineering Informatics,16
Accident Analysis & Prevention,16
Journal of Visual Communication and Image Representation,16
Sustainable Cities and Society,16
Data & Knowledge Engineering,15
Big Data Research,15
Machine Learning with Applications,14
Government Information Quarterly,14
Artificial Intelligence,14
Journal of Network and Computer Applications,14
Technology in Society,14
International Journal of Forecasting,12
Data and Information Management,12
Gastroenterology,12
IFAC-PapersOnLine,12
Computers & Electrical Engineering,12
Safety Science,12
Science of The Total Environment,12
Computers & Education,11
Computers in Biology and Medicine,11
Industrial Marketing Management,10
Data in Brief,10
International Journal of Research in Marketing,10
Tourism Management Perspectives,10
Journal of Air Transport Management,10
Technovation,10
Cognition,10
Renewable and Sustainable Energy Reviews,10
ISPRS Journal of Photogrammetry and Remote Sensing,9
Procedia CIRP,9
European Journal of Operational Research,9
Environmental Modelling & Software,9
Patterns,9
Social Networks,9
Futures,8
International Journal of Approximate Reasoning,8
International Journal of Applied Earth Observation and Geoinformation,8
Computer Vision and Image Understanding,8
Energy Policy,8
Journal of Interactive Marketing,8
Visual Informatics,8
Annals of Tourism Research,8
Sustainable Production and Consumption,8
Journal of Parallel and Distributed Computing,8
Applied Energy,7
Handbook of Statistics,7
Global Environmental Change,7
Pervasive and Mobile Computing,7
Computers and Education: Artificial Intelligence,7
NeuroImage,7
Computer Communications,7
European Journal of Political Economy,7
The Leadership Quarterly,7
Transport Policy,7
Journal of Hospitality and Tourism Management,7
Theoretical Computer Science,6
Telecommunications Policy,6
Transportation Research Part A: Policy and Practice,6
Transportation Research Part D: Transport and Environment,6
Ecological Informatics,6
Diabetes & Metabolic Syndrome: Clinical Research & Reviews,6
Social Science & Medicine,6
Value in Health,6
International Journal of Human-Computer Studies,6
Russian Literature,6
International Journal of Production Economics,6
Revue d'Épidémiologie et de Santé Publique,6
Cognitive Systems Research,6
Journal of Clinical Epidemiology,6
Ocean Engineering,6
Computer Methods and Programs in Biomedicine,6
"Resources, Conservation and Recycling",6
Environmental Innovation and Societal Transitions,5
International Review of Financial Analysis,5
Digital Communications and Networks,5
Journal of Destination Marketing & Management,5
Transportation Research Procedia,5
Transportation Research Part F: Traffic Psychology and Behaviour,5
Journal of Engineering and Technology Management,5
Journal of Environmental Management,5
Entertainment Computing,5
Journal of Retailing,5
Transportation Research Interdisciplinary Perspectives,5
Journal of Transport Geography,5
Journal of Web Semantics,5
Microprocessors and Microsystems,5
The Journal of Strategic Information Systems,5
"Mobility Patterns, Big Data and Transport Analytics",5
Software Impacts,5
Neuroscience & Biobehavioral Reviews,5
Public Relations Review,5
Science of Computer Programming,5
Reliability Engineering & System Safety,5
Internet of Things,5
iScience,5
Computer Networks,5
Appetite,5
Computers & Geosciences,5
"Chaos, Solitons & Fractals",5
Social Sciences & Humanities Open,4
Expert Systems with Applications: X,4
Resources Policy,4
Research in Transportation Business & Management,4
Internet Interventions,4
Food Quality and Preference,4
Journal of Visual Languages & Computing,4
In Computer Vision and Pattern Recognition,4
The Journal of Finance and Data Science,4
Smart Health,4
Egyptian Informatics Journal,4
Electoral Studies,4
International Review of Economics & Finance,4
International Journal of Transportation Science and Technology,4
Remote Sensing of Environment,4
Energy Economics,4
American Journal of Preventive Medicine,4
Image and Vision Computing,4
Travel Behaviour and Society,4
Case Studies on Transport Policy,4
Biomedical Signal Processing and Control,4
Child Abuse & Neglect,4
Global Transitions Proceedings,4
Journal of Affective Disorders,4
MethodsX,4
Gynecologic Oncology,4
One Earth,4
The Journal of Academic Librarianship,4
Medical Image Analysis,4
Marine Pollution Bulletin,4
Measurement,4
Journal of Business Venturing,3
Signal Processing,3
The North American Journal of Economics and Finance,3
Computers and Electrical Engineering,3
Journal of Behavioral and Experimental Finance,3
Computers in Human Behavior Reports,3
Journal of Information Security and Applications,3
Journal of Banking & Finance,3
Cell,3
Environmental Impact Assessment Review,3
Signal Processing: Image Communication,3
Journal of Industrial Information Integration,3
Telematics and Informatics Reports,3
The Lancet Planetary Health,3
Journal of Corporate Finance,3
Computers and Electronics in Agriculture,3
Geoforum,3
Journal of Cardiac Failure,3
Sentiment Analysis in Social Networks,3
Journal of Economic Dynamics and Control,3
The International Journal of Management Education,3
Health & Place,3
Forensic Science International,3
Health Policy,3
Journal of Accounting and Economics,3
Procedia Manufacturing,3
Computers & Graphics,3
Transportation Research Part E: Logistics and Transportation Review,3
Sustainable Energy Technologies and Assessments,3
Ecological Indicators,3
In Intelligent Data-Centric Systems,3
Journal of Monetary Economics,3
Land Use Policy,3
"Discourse, Context & Media",3
Ad Hoc Networks,3
Transportmetrica A Transport Science,3
Landscape and Urban Planning,3
Informatics in Medicine Unlocked,3
International Journal of Cognitive Computing in Engineering,3
Current Opinion in Systems Biology,3
Computer Law & Security Review,3
Omega,3
Ultrasound in Medicine & Biology,3
