0,0
ACM Trans. Inf. Syst.,30
International ACM SIGIR Conference on Research and Development in Information Retrieval,26
ACM Comput. Surv.,22
ACM on Conference on Information and Knowledge Management,20
Proc. ACM Hum.-Comput. Interact.,17
"IEEE/ACM Trans. Audio, Speech and Lang. Proc.",17
ACM Trans. Knowl. Discov. Data,16
ACM International Conference on Multimedia,16
ACM Trans. Intell. Syst. Technol.,15
ACM Trans. Asian Low-Resour. Lang. Inf. Process.,13
ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,12
J. Mach. Learn. Res.,12
ACM International Conference on Information &amp; Knowledge Management,12
CHI Conference on Human Factors in Computing Systems,11
ACM International Conference on Information and Knowledge Management,11
Proceedings of the ACM Web Conference,10
The World Wide Web Conference,10
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,8
Proceedings of the Web Conference,7
Companion Proceedings of the Web Conference,7
ACM Trans. Multimedia Comput. Commun. Appl.,7
International Conference on Intelligent User Interfaces,7
ACM Conference on Hypertext and Social Media,6
ACM Trans. Web,6
Proc. VLDB Endow.,6
ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,6
ACM Trans. Internet Technol.,5
ACM Trans. Interact. Intell. Syst.,5
Proceedings of The Web Conference,5
Proceedings of the Twelfth ACM International Conference on Web Search and Data Mining,5
Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,5
ACM Trans. Manage. Inf. Syst.,5
Companion Proceedings of the The Web Conference,5
Proceedings of the Fifteenth ACM International Conference on Web Search and Data Mining,5
International Conference on World Wide Web Companion,5
ACM Conference on Web Science,4
Comput. Linguist.,4
ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,4
Companion Proceedings of The 2019 World Wide Web Conference,4
International Conference on Software Engineering,4
The 41st International ACM SIGIR Conference on Research &amp; Development in Information Retrieval,4
International Conference on Mining Software Repositories,4
Proceedings of the Tenth ACM International Conference on Web Search and Data Mining,4
International Conference on World Wide Web,4
International Conference on Information Integration and Web-Based Applications &amp; Services,4
The VLDB Journal,4
23rd International Conference on Intelligent User Interfaces,4
ACM / IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),3
on Hypertext and Social Media,3
World Wide Web Conference,3
Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops,3
2021 4th International Conference on Data Science and Information Technology,3
Trans. Soc. Comput.,3
ACM SIGKDD Conference on Knowledge Discovery and Data Mining,3
Proceedings of the International Conference on Web Intelligence,3
Annual ACM Symposium on Applied Computing,3
IEEE/ACM Trans. Comput. Biol. Bioinformatics,3
J. Data and Information Quality,2
IEEE/WIC/ACM International Conference on Web Intelligence,2
International Conference on Program Comprehension,2
IEEE/ACM International Conference on Automated Software Engineering,2
International Conference on Management of Data,2
Proceedings of the ACM SIGIR International Conference on Theory of Information Retrieval,2
Proceedings of the ACM Symposium on Cloud Computing,2
Proceedings of the First ACM International Conference on AI in Finance,2
"International Conference on Web Intelligence, Mining and Semantics",2
International Conference on Web Search and Data Mining,2
ACM on International Conference on Multimedia Retrieval,2
Conference on Conference Human Information Interaction and Retrieval,2
ACM on Web Science Conference,2
J. Artif. Int. Res.,2
ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,2
IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,2
Conference Companion Publication of the 2020 on Computer Supported Cooperative Work and Social Computing,2
International Conference on Advances in Geographic Information Systems,2
International Conference on Big Data and Computing,2
ACM/IEEE on Joint Conference on Digital Libraries,2
Adjunct ACM International Joint Conference on Pervasive and Ubiquitous Computing and ACM International Symposium on Wearable Computers,2
Evaluation and Assessment in Software Engineering,2
Proceedings of the Eighth ACM Conference on Learning @ Scale,2
International Conference on Computer Science and Application Engineering,2
International Workshop on Mining Scientific Publications,2
Designing Interactive Systems Conference,2
International Conference on Social Media &amp; Society,2
ACM International Conference on Computing Frontiers,2
ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,2
3rd International Conference on Innovation in Artificial Intelligence,2
3rd International Conference on Information Management and Management Science,2
5th Joint International Conference on Data Science &amp; Management of Data (9th ACM IKDD CODS and 27th COMAD),2
"AAAI/ACM Conference on AI, Ethics, and Society",2
"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics",2
ACM Conference on Computer Supported Cooperative Work and Social Computing,2
ACM Conference on Recommender Systems,2
Proceedings of the Second ACM International Conference on AI in Finance,2
Proceedings of the Knowledge Capture Conference,2
4th International Conference on Electronic Information Technology and Computer Engineering,2
ACM Trans. Comput. Healthcare,2
"Proceedings of the Fourth IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",2
ACM SIGIR International Conference on Theory of Information Retrieval,2
XVIII Brazilian Symposium on Information Systems,1
on Knowledge Capture Conference,1
SIGSOFT Softw. Eng. Notes,1
Koli Calling '20: Koli Calling International Conference on Computing Education Research,1
SIGPLAN Not.,1
International Conference on Software Engineering and Information Management,1
Koli Calling International Conference on Computing Education Research,1
"Multidisciplinary in International Social Networks Conference and The 3rd International Conference on Economics, Management and Technology",1
LAK22: 12th International Learning Analytics and Knowledge Conference,1
"The 2021 International Conference on Computer, Control, Informatics and Its Applications",1
SIGMIS Database,1
"Nordic Conference on Human-Computer Interaction: Shaping Experiences, Shaping Society",1
International Conference on Software Engineering Companion,1
Personal Ubiquitous Comput.,1
on International Conference on Multimedia Retrieval,1
J. Hum.-Robot Interact.,1
Workshop on Scholarly Web Mining,1
on Intelligent Cross-Data Analysis and Retrieval Workshop,1
The 23rd International Conference on Information Integration and Web Intelligence,1
J. Comput. Cult. Herit.,1
The 9th International Conference on Smart Media and Applications,1
International Conference on Ubiquitous Information Management and Communication,1
SIGKDD Explor. Newsl.,1
The First International Conference on AI-ML-Systems,1
International Web for All Conference,1
International Symposium on Artificial Intelligence for Medicine Sciences,1
Workshop on Big Data Analytics and Machine Learning for Data Communication Networks,1
Workshop on Data Science for Macro-Modeling with Financial and Economic Datasets,1
Workshop on Network Meets AI &amp; ML,1
"International Conference on Wireless Communications, Networking and Applications",1
Workshop on Open Challenges in Online Social Networks,1
"Proceedings of the First International Conference on Data Science, E-Learning and Information Systems",1
Proceedings of the South African Institute of Computer Scientists and Information Technologists,1
SIGGRAPH Asia 2017 Symposium on Visualization,1
Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering,1
Proceedings of the Fourth International Workshop on Data Science for Macro-Modeling with Financial and Economic Datasets,1
Proceedings of the International Conference on Big Data and Internet of Thing,1
Proceedings of the Evaluation and Assessment in Software Engineering,1
Proceedings of the International Conference on Compute and Data Analysis,1
Proceedings of the Eleventh ACM International Conference on Web Search and Data Mining,1
